CollegeNavigator_Search_2018-11-04_14.01.59
State,Name
AZ,Arizona State University-Tempe
"CA
CA
CA
CA
CA
CA
CA
CA
CA
CA
CA
CA
CA","California State University-Long Beach
California State University-Northridge
Pitzer College
Pomona College
San Francisco State University
Scripps College
University of California-Berkeley
University of California-Davis
University of California-Irvine
University of California-Los Angeles
University of California-Riverside
University of California-Santa Barbara
University of Southern California"
,
,
,
,
,
,
,
,
,
,
,
,
CO,University of Denver
"IL
IL","Northwestern University
University of Illinois at Urbana-Champaign"
,
MA,University of Maryland-College Park
"NY
NY
NY","Binghamton University
New York University
Stony Brook University"
,
,
,
,
,
