year,cip_name,cip,university_name,university,grads_total
2013,"Asian-American Studies","050206","Arizona State University-Tempe","104151",2.0
2013,"Asian-American Studies","050206","California State University-Long Beach","110583",3.0
2013,"Asian-American Studies","050206","California State University-Northridge","110608",17.0
2013,"Asian-American Studies","050206","University of California-Berkeley","110635",8.0
2013,"Asian-American Studies","050206","University of California-Davis","110644",24.0
2013,"Asian-American Studies","050206","University of California-Irvine","110653",9.0
2013,"Asian-American Studies","050206","University of California-Los Angeles","110662",59.0
2013,"Asian-American Studies","050206","University of California-Riverside","110671",3.0
2013,"Asian-American Studies","050206","University of California-Santa Barbara","110705",29.0
2013,"Asian-American Studies","050206","Pomona College","121345",1.0
2013,"Asian-American Studies","050206","San Francisco State University","122597",32.0
2013,"Asian-American Studies","050206","Scripps College","123165",1.0
2013,"Asian-American Studies","050206","University of Denver","127060",4.0
2013,"Asian-American Studies","050206","New York University","193900",1.0
2013,"Asian-American Studies","050206","SUNY at Binghamton","196079",3.0
2013,"Asian-American Studies","050206","Stanford University","243744",3.0
2014,"Asian-American Studies","050206","Arizona State University-Tempe","104151",1.0
2014,"Asian-American Studies","050206","California State University-Long Beach","110583",3.0
2014,"Asian-American Studies","050206","California State University-Northridge","110608",18.0
2014,"Asian-American Studies","050206","University of California-Berkeley","110635",1.0
2014,"Asian-American Studies","050206","University of California-Davis","110644",24.0
2014,"Asian-American Studies","050206","University of California-Irvine","110653",8.0
2014,"Asian-American Studies","050206","University of California-Los Angeles","110662",39.0
2014,"Asian-American Studies","050206","University of California-Riverside","110671",2.0
2014,"Asian-American Studies","050206","University of California-Santa Barbara","110705",18.0
2014,"Asian-American Studies","050206","Pitzer College","121257",2.0
2014,"Asian-American Studies","050206","San Francisco State University","122597",36.0
2014,"Asian-American Studies","050206","Scripps College","123165",1.0
2014,"Asian-American Studies","050206","SUNY at Binghamton","196079",13.0
2015,"Asian-American Studies","050206","California State University-Long Beach","110583",7.0
2015,"Asian-American Studies","050206","California State University-Northridge","110608",8.0
2015,"Asian-American Studies","050206","University of California-Berkeley","110635",2.0
2015,"Asian-American Studies","050206","University of California-Davis","110644",18.0
2015,"Asian-American Studies","050206","University of California-Irvine","110653",16.0
2015,"Asian-American Studies","050206","University of California-Los Angeles","110662",37.0
2015,"Asian-American Studies","050206","University of California-Riverside","110671",4.0
2015,"Asian-American Studies","050206","University of California-Santa Barbara","110705",8.0
2015,"Asian-American Studies","050206","Pitzer College","121257",1.0
2015,"Asian-American Studies","050206","San Francisco State University","122597",25.0
2015,"Asian-American Studies","050206","Scripps College","123165",1.0
2015,"Asian-American Studies","050206","University of Denver","127060",2.0
2015,"Asian-American Studies","050206","SUNY at Binghamton","196079",17.0
2015,"Asian-American Studies","050206","Stanford University","243744",1.0
2016,"Asian-American Studies","050206","California State University-Long Beach","110583",3.0
2016,"Asian-American Studies","050206","California State University-Northridge","110608",9.0
2016,"Asian-American Studies","050206","University of California-Davis","110644",15.0
2016,"Asian-American Studies","050206","University of California-Irvine","110653",13.0
2016,"Asian-American Studies","050206","University of California-Los Angeles","110662",31.0
2016,"Asian-American Studies","050206","University of California-Riverside","110671",4.0
2016,"Asian-American Studies","050206","University of California-Santa Barbara","110705",12.0
2016,"Asian-American Studies","050206","San Francisco State University","122597",25.0
2016,"Asian-American Studies","050206","Scripps College","123165",1.0
2016,"Asian-American Studies","050206","University of Denver","127060",2.0
2016,"Asian-American Studies","050206","SUNY at Binghamton","196079",13.0
