CollegeNavigator_Search_2018-11-04_14.01.59
Name,Postal Code,State,Website,Awards offered,Campus setting,Student population,Undergraduate students,Net Price **
Arizona State University-Tempe,"University Drive and Mill Avenue, Tempe, Arizona 85287",AZ,www.asu.edu/,Less than one year certificate|One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship,City: Midsize,51164,42427,"$12,947.00"
Binghamton University,"4400 Vestal Parkway East, Vestal, New York 13850-6000",NY,www.binghamton.edu,Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,Suburb: Midsize,17351,13737,"$16,775.00"
California State University-Long Beach,"1250 Bellflower Blvd, Long Beach, California 90840-0115",CA,www.csulb.edu,Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other,City: Large,37622,31566,"$9,654.00"
California State University-Northridge,"18111 Nordhoff St, Northridge, California 91330",CA,https://www.csun.edu,Bachelor's degree|Master's degree|Doctor's degree - professional practice|Doctor's degree - other,City: Large,41319,35839,"$5,958.00"
New York University,"70 Washington Sq South, New York, New York 10012-1091",NY,www.nyu.edu,Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other,City: Large,51123,26417,"$36,256.00"
Northwestern University,"633 Clark St, Evanston, Illinois 60208",IL,www.northwestern.edu,One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,City: Small,22008,8700,"$26,099.00"
Pitzer College,"1050 North Mills Avenue, Claremont, California 91711-6101",CA,https://www.pitzer.edu,Bachelor's degree,Suburb: Large,1074,1074,"$26,935.00"
Pomona College,"550 N College Ave, Claremont, California 91711-6319",CA,www.pomona.edu,Bachelor's degree,Suburb: Large,1599,1599,"$18,427.00"
San Francisco State University,"1600 Holloway Ave, San Francisco, California 94132",CA,www.sfsu.edu,Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other,City: Large,29758,26680,"$13,551.00"
Scripps College,"1030 North Columbia Avenue, Claremont, California 91711-3905",CA,www.scrippscollege.edu,Bachelor's degree|Postbaccalaureate certificate,Suburb: Large,1083,1065,"$36,831.00"
Stony Brook University,"310 Administration Building, Stony Brook, New York 11794",NY,www.stonybrook.edu,Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,Suburb: Large,25989,17364,"$14,330.00"
University of California-Berkeley,"200 California Hall, Berkeley, California 94720",CA,www.berkeley.edu,Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,City: Midsize,41891,30574,"$18,178.00"
University of California-Davis,"One Shields Avenue, Davis, California 95616-8678",CA,www.ucdavis.edu,Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,Suburb: Small,37380,30066,"$16,446.00"
University of California-Irvine,"501 Aldrich Hall, Irvine, California 92697",CA,www.uci.edu/,Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice,City: Large,35242,29307,"$13,944.00"
University of California-Los Angeles,"405 Hilgard Ave, Los Angeles, California 90095-1405",CA,www.ucla.edu/,Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice,City: Large,44027,31002,"$14,760.00"
University of California-Riverside,"900 University Ave, Riverside, California 92521",CA,WWW.UCR.EDU,Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice,City: Large,23279,20073,"$12,404.00"
University of California-Santa Barbara,"5221 Cheadle Hall, Santa Barbara, California 93106",CA,www.ucsb.edu,Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship,Suburb: Midsize,25057,22186,"$16,154.00"
University of Denver,"2199 S. University Blvd, Denver, Colorado 80208",CO,www.du.edu,Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,City: Large,11434,5765,"$35,163.00"
University of Illinois at Urbana-Champaign,"601 E John Street, Champaign, Illinois 61820-5711",IL,www.illinois.edu/,Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,City: Small,48216,33955,"$16,638.00"
University of Maryland-College Park,"College Park, Maryland 20742",MA,www.umd.edu,Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,Suburb: Large,40521,29868,"$17,241.00"
University of Southern California,"University Park, Los Angeles, California 90089",CA,www.usc.edu/,Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other,City: Large,45687,19170,"$32,892.00"
,,,,,,,,
,,,,,,,,
,,,,,,,,
